# CH-ME-2-PLP+2002-03-27_3
#
#     created from : /export/mag6/C/PLP/work/plp_den_2002086.dat.tipi
#                @ : 2007-11-08 by rauberg
#
# first time (UTC) : 2002-03-26 23:59:47.000
#       mjd  (UTC) : 815.99984954
#       gps  (gps) : 701222400
#
# end   time (UTC) : 2002-03-27 23:59:32.000
#       mjd  (UTC) : 816.99967593
#       gps  (gps) : 701308785
#
#------------------------------------------------------------------------------
#     GPS YYYY MM DD hh mm   ss.ssss    radius  latitude longitude   electron
#                                               geocentr  geocentr   density
#     [s]                                 [km]     [deg]     [deg]   [1/cm^3]
#------------------------------------------------------------------------------
701223240 2002  3 27  0 13   47.0000 6766.9551   54.5159  -95.0642  9.767e+05
701223255 2002  3 27  0 14    2.0000 6767.4208   53.5439  -94.9912  9.648e+05
701223270 2002  3 27  0 14   17.0000 6767.8913   52.5719  -94.9243  9.241e+05
701223285 2002  3 27  0 14   32.0000 6768.3666   51.5998  -94.8631  8.677e+05
701223300 2002  3 27  0 14   47.0000 6768.8464   50.6278  -94.8071  8.239e+05
701223315 2002  3 27  0 15    2.0000 6769.3305   49.6557  -94.7559  7.963e+05
701223330 2002  3 27  0 15   17.0000 6769.8187   48.6837  -94.7092  7.738e+05
701223345 2002  3 27  0 15   32.0000 6770.3109   47.7117  -94.6666  7.600e+05
701223360 2002  3 27  0 15   47.0000 6770.8068   46.7396  -94.6279  7.594e+05
701223375 2002  3 27  0 16    2.0000 6771.3063   45.7677  -94.5928  7.682e+05
701223390 2002  3 27  0 16   17.0000 6771.8092   44.7957  -94.5611  7.776e+05
701223405 2002  3 27  0 16   32.0000 6772.3152   43.8239  -94.5325  7.939e+05
701223420 2002  3 27  0 16   47.0000 6772.8242   42.8520  -94.5069  8.027e+05
701223435 2002  3 27  0 17    2.0000 6773.3359   41.8802  -94.4840  8.115e+05
701223450 2002  3 27  0 17   17.0000 6773.8503   40.9085  -94.4637  8.127e+05
701223465 2002  3 27  0 17   32.0000 6774.3670   39.9369  -94.4458  8.190e+05
701223480 2002  3 27  0 17   47.0000 6774.8860   38.9653  -94.4301  8.290e+05
701223495 2002  3 27  0 18    2.0000 6775.4069   37.9938  -94.4166  8.403e+05
701223510 2002  3 27  0 18   17.0000 6775.9296   37.0224  -94.4051  8.485e+05
701223525 2002  3 27  0 18   32.0000 6776.4539   36.0510  -94.3955  8.604e+05
701223540 2002  3 27  0 18   47.0000 6776.9797   35.0798  -94.3877  8.811e+05
701223555 2002  3 27  0 19    2.0000 6777.5066   34.1086  -94.3815  8.974e+05
701223570 2002  3 27  0 19   17.0000 6778.0346   33.1375  -94.3769  9.162e+05
701223585 2002  3 27  0 19   32.0000 6778.5633   32.1665  -94.3738  9.332e+05
701223600 2002  3 27  0 19   47.0000 6779.0927   31.1956  -94.3720  9.483e+05
701223615 2002  3 27  0 20    2.0000 6779.6225   30.2248  -94.3716  9.658e+05
701223630 2002  3 27  0 20   17.0000 6780.1525   29.2542  -94.3725  9.834e+05
701223645 2002  3 27  0 20   32.0000 6780.6826   28.2836  -94.3745  9.985e+05
701223660 2002  3 27  0 20   47.0000 6781.2125   27.3131  -94.3776  1.019e+06
701223675 2002  3 27  0 21    2.0000 6781.7420   26.3427  -94.3818  1.037e+06
701223690 2002  3 27  0 21   17.0000 6782.2710   25.3725  -94.3869  1.055e+06
701223705 2002  3 27  0 21   32.0000 6782.7993   24.4023  -94.3930  1.084e+06
701223720 2002  3 27  0 21   47.0000 6783.3267   23.4323  -94.3999  1.113e+06
701223735 2002  3 27  0 22    2.0000 6783.8530   22.4624  -94.4077  1.160e+06
701223750 2002  3 27  0 22   17.0000 6784.3780   21.4926  -94.4162  1.206e+06
701223765 2002  3 27  0 22   32.0000 6784.9015   20.5229  -94.4255  1.266e+06
701223780 2002  3 27  0 22   47.0000 6785.4233   19.5533  -94.4354  1.330e+06
701223795 2002  3 27  0 23    2.0000 6785.9433   18.5838  -94.4460  1.399e+06
701223810 2002  3 27  0 23   17.0000 6786.4613   17.6145  -94.4572  1.468e+06
701223825 2002  3 27  0 23   32.0000 6786.9770   16.6453  -94.4689  1.542e+06
701223840 2002  3 27  0 23   47.0000 6787.4904   15.6762  -94.4811  1.638e+06
701223855 2002  3 27  0 24    2.0000 6788.0012   14.7072  -94.4939  1.777e+06
701223870 2002  3 27  0 24   17.0000 6788.5092   13.7384  -94.5071  1.980e+06
701223885 2002  3 27  0 24   32.0000 6789.0144   12.7696  -94.5207  2.275e+06
701223900 2002  3 27  0 24   47.0000 6789.5165   11.8010  -94.5346  2.669e+06
701223915 2002  3 27  0 25    2.0000 6790.0154   10.8326  -94.5490  3.128e+06
701223930 2002  3 27  0 25   17.0000 6790.5109    9.8642  -94.5636  3.403e+06
701223945 2002  3 27  0 25   32.0000 6791.0028    8.8960  -94.5786  3.347e+06
