# CH-ME-2-PLP+2002-01-01_2
#
#     created from : /export/me-R1/D/PLP/work/didm_plp_2002_001.dat.tipi
#                @ : 2004-03-19 by wepmai
#
# first time (UTC) : 2001-12-31 23:59:49.000
#       mjd  (UTC) : 730.99987269
#       gps  (gps) : 693878402
#
# end   time (UTC) : 2002-01-01 23:59:39.000
#       mjd  (UTC) : 731.99975694
#       gps  (gps) : 693964792
#
#-------------------------------------------------------------------------------------
#     GPS YYYY MM DD hh mm   ss.ssss    radius  latitude longitude   electron     temp
#                                               geocentr  geocentr   density
#     [s]                                 [km]     [deg]     [deg]   [1/cm^3]      [K]
#-------------------------------------------------------------------------------------
693879167 2002  1  1  0 12   34.0000 6790.5049   45.2461   22.6570  1.570e+05  1820.00
693879182 2002  1  1  0 12   49.0000 6791.0490   44.2788   22.6861  1.700e+05  1740.00
693879197 2002  1  1  0 13    4.0000 6791.5938   43.3115   22.7123  1.890e+05  1710.00
693879212 2002  1  1  0 13   19.0000 6792.1391   42.3443   22.7356  1.870e+05  1700.00
693879227 2002  1  1  0 13   34.0000 6792.6847   41.3772   22.7564  1.920e+05  1580.00
693879242 2002  1  1  0 13   49.0000 6793.2304   40.4102   22.7747  2.020e+05  1690.00
693879257 2002  1  1  0 14    4.0000 6793.7760   39.4432   22.7907  2.130e+05  1620.00
693879272 2002  1  1  0 14   19.0000 6794.3213   38.4764   22.8045  2.220e+05  1620.00
693879287 2002  1  1  0 14   34.0000 6794.8660   37.5096   22.8163  2.360e+05  1530.00
693879302 2002  1  1  0 14   49.0000 6795.4101   36.5429   22.8261  2.510e+05  1530.00
693879317 2002  1  1  0 15    4.0000 6795.9533   35.5763   22.8342  2.600e+05  1580.00
693879332 2002  1  1  0 15   19.0000 6796.4954   34.6097   22.8405  2.760e+05  1400.00
693879347 2002  1  1  0 15   34.0000 6797.0362   33.6433   22.8453  2.960e+05  1550.00
693879362 2002  1  1  0 15   49.0000 6797.5756   32.6770   22.8486  3.180e+05  1660.00
693879377 2002  1  1  0 16    4.0000 6798.1133   31.7108   22.8504  3.480e+05  1560.00
693879392 2002  1  1  0 16   19.0000 6798.6490   30.7446   22.8509  3.890e+05  1520.00
693879407 2002  1  1  0 16   34.0000 6799.1828   29.7786   22.8501  4.360e+05  1490.00
693879422 2002  1  1  0 16   49.0000 6799.7142   28.8127   22.8481  4.920e+05  1570.00
693879437 2002  1  1  0 17    4.0000 6800.2432   27.8468   22.8451  5.680e+05  1530.00
693879452 2002  1  1  0 17   19.0000 6800.7695   26.8811   22.8409  6.610e+05  1580.00
693879467 2002  1  1  0 17   34.0000 6801.2930   25.9155   22.8358  7.590e+05  1600.00
693879482 2002  1  1  0 17   49.0000 6801.8135   24.9500   22.8297  8.640e+05  1620.00
693879497 2002  1  1  0 18    4.0000 6802.3308   23.9846   22.8227  9.900e+05  1650.00
693879512 2002  1  1  0 18   19.0000 6802.8447   23.0193   22.8149  1.120e+06  1690.00
693879527 2002  1  1  0 18   34.0000 6803.3550   22.0541   22.8062  1.260e+06  1780.00
693879542 2002  1  1  0 18   49.0000 6803.8615   21.0891   22.7969  1.400e+06  1820.00
693879557 2002  1  1  0 19    4.0000 6804.3642   20.1241   22.7868  1.490e+06  1870.00
693879572 2002  1  1  0 19   19.0000 6804.8628   19.1593   22.7761  1.540e+06  1900.00
693879587 2002  1  1  0 19   34.0000 6805.3571   18.1945   22.7648  1.530e+06  1900.00
693879602 2002  1  1  0 19   49.0000 6805.8469   17.2299   22.7530  1.480e+06  1910.00
693879617 2002  1  1  0 20    4.0000 6806.3322   16.2654   22.7405  1.420e+06  1940.00
693879632 2002  1  1  0 20   19.0000 6806.8127   15.3010   22.7276  1.340e+06  1930.00
693879647 2002  1  1  0 20   34.0000 6807.2883   14.3367   22.7142  1.270e+06  1900.00
693879662 2002  1  1  0 20   49.0000 6807.7588   13.3726   22.7004  1.180e+06  1970.00
693879677 2002  1  1  0 21    4.0000 6808.2241   12.4085   22.6862  1.120e+06  2000.00
693879692 2002  1  1  0 21   19.0000 6808.6840   11.4446   22.6716  1.080e+06  1990.00
693879707 2002  1  1  0 21   34.0000 6809.1384   10.4807   22.6567  1.070e+06  2000.00
693879722 2002  1  1  0 21   49.0000 6809.5871    9.5170   22.6415  1.070e+06  1990.00
